No,Event Name,Metrics ID & Name (STG),propertyNames,Metrics filter,propertyValues,Incremented By (STG),Status,Metrics ID & Name (Prod),Attributes (Prod),Metrics filter,Value,Incremented By (PROD),Status,Implemented On,Test Results,Comment
60,Trade Order Completed,trade-order-completed-spot-pepe-amount-gl,"platform(gl),
trading_product(PEPE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-pepe-amount-gl,"platform(gl),
trading_product(PEPE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,PEPE
61,Trade Order Completed,trade-order-completed-spot-floki-amount-gl,"platform(gl),
trading_product(FLOKI),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-floki-amount-gl,"platform(gl),
trading_product(FLOKI),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,FLOKI
62,Trade Order Completed,trade-order-completed-spot-bonk-amount-gl,"platform(gl),
trading_product(BONK),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-bonk-amount-gl,"platform(gl),
trading_product(BONK),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,BONK
63,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-eth-amount-gl,"platform(gl),
trading_product(ETH),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,ETH
64,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-btc-amount-gl,"platform(gl),
trading_product(BTC),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,BTC
65,Trade Order Completed,trade-order-completed-spot-fdm-amount-gl,"platform(gl),
trading_product(FDM),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-fdm-amount-gl,"platform(gl),
trading_product(FDM),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza GL,,FDM
66,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-ton-amount-th,"platform(th),
trading_product(TON),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,TON
67,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-dogs-amount-th,"platform(th),
trading_product(DOGS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,DOGS
68,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-usdt-amount-th,"platform(th),
trading_pair(usdt),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,
69,Trade Order Completed,trade-order-completed-spot-fdm-amount-th,"platform(th),
trading_pair(fdm),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,-,,,,,Added,Bitazza TH,,
70,Trade Order Completed,,,equals,,,Added,trade-order-completed-spot-wif-amount-th,"platform(th),
trading_product(WIF),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,WIF
71,Trade Order Completed,trade-order-completed-spot-doge-amount-th,"platform(th),
trading_pair(DOGE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-doge-amount-th,"platform(th),
trading_product(DOGE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,DOGE
72,Trade Order Completed,trade-order-completed-spot-shib-amount-th,"platform(th),
trading_pair(SHIB),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-shib-amount-th,"platform(th),
trading_product(SHIB),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,SHIB
73,Trade Order Completed,trade-order-completed-spot-babydoge-amount-th,"platform(th),
trading_product(BABYDOGE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-babydoge-amount-th,"platform(th),
trading_product(BABYDOGE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,BABYDOGE
74,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-bome-amount-th,"platform(th),
trading_product(BOME),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,BOME
75,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-eos-amount-th,"platform(th),
trading_product(EOS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,EOS
76,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-rndr-amount-th,"platform(th),
trading_product(RNDR),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,RNDR
77,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-pendle-amount-th,"platform(th),
trading_product(PENDLE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,PENDLE
78,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-meme-amount-th,"platform(th),
trading_product(MEME),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,MEME
79,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-sats-amount-th,"platform(th),
trading_product(1000SATS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,SATS
80,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-metis-amount-th,"platform(th),
trading_product(METIS),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,METIS
81,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-chz-amount-th,"platform(th),
trading_product(CHZ),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,CHZ
82,Trade Order Completed,-,,equals,,,Added,trade-order-completed-spot-apt-amount-th,"platform(th),
trading_product(APT),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,APT
83,Trade Order Completed,trade-order-completed-spot-pepe-amount-th,"platform(th),
trading_product(PEPE),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-pepe-amount-th,"platform(th),
trading_product(PEPE),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,PEPE
84,Trade Order Completed,trade-order-completed-spot-floki-amount-th,"platform(th),
trading_product(FLOKI),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-floki-amount-th,"platform(th),
trading_product(FLOKI),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,FLOKI
85,Trade Order Completed,trade-order-completed-spot-bonk-amount-th,"platform(th),
trading_product(BONK),
trade_type(spot),
trading_value(amount)",equals,,trading_value,Added,trade-order-completed-spot-bonk-amount-th,"platform(th),
trading_product(BONK),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,BONK
86,Trade Order Completed,-,,,,,Added,trade-order-completed-spot-eth-amount-th,"platform(th),
trading_product(ETH),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,ETH
87,Trade Order Completed,-,,,,,Added,trade-order-completed-spot-btc-amount-th,"platform(th),
trading_product(BTC),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,BTC
88,Trade Order Completed,-,,,,,Added,trade-order-completed-spot-ftm-amount-th,"platform(th),
trading_product(FTM),
trade_type(spot),
trading_value(amount)",,,trading_value,Added,Bitazza TH,,FTM
89,Friend Invited,friend-invited,-,,,-,Added,friend-invited,-,,,,Added,All,,
90,Friend Invited Verified,friend-invited-verified,-,,,-,Added,friend-invited-verified,-,,,,Added,All,,
91,Friend Invited Verified,friend-invited-verified-freedom-cafe-staging,community_name(freedom cafe staging),equals,,-,Added,friend-invited-verified-freedom-cafe,community_name(freedom cafe),,,,Added,Freedom Cafe,,
92,Friend Invited Verified,friend-invited-verified-tomyumthai-staging,community_name(tomyumthai staging),equals,,-,Added,friend-invited-verified-tomyumthai,community_name(tomyumthai),,,,Added,Tom Yum Thai,,
93,Friend Invited Verified,friend-invited-verified-bored-town-staging,community_name(bored town staging),equals,,,Added,friend-invited-verified-bored-town,community_name(bored town),,,,Added,Bored Town,,
94,Friend Invited Verified,-,,,,,Added,friend-invited-verified-fuse,community_name(fuse),,,,Added,FUSE,,
95,Friend Invited Verified,-,,,,,Added,friend-invited-verified-freedom-fantasy-football,community_name(freedom fantasy football),,,,Added,Freedom Fantasy Football,,
96,Friend Invited Verified,-,,,,,Added,friend-invited-verified-baan-unrak-foundation,"community_name(baan unrak foundation), verification_level(converted)",,,,Added,Baan Unrak Foundation,,
97,Friend Invited Verified,-,,,,,Added,friend-invited-verified-rosie-master-by-madam-marie,community_name(Rosie Master by Madam Marie),,,,Added,Rosie Master by Madam Marie,,
98,Friend Invited Verified,-,,,,,Added,friend-invited-verified-discover-thailand,community_name(Discover Thailand),,,,Added,Discover Thailand,,
99,Friend Invited Kyced,friend-invited-kyced,-,,,-,Added,friend-invited-kyced,-,,,,Added,Bitazza (GL & TH),,
100,Friend Invited Kyced,friend-invited-kyced-bitazza_th,referee_kyc_platform(bitazza_th),equals,,,Added,friend-invited-kyced-bitazza_th,referee_kyc_platform(bitazza_th),,,,Added,Bitazza App - TH,,
101,Friend Invited Kyced,friend-invited-kyced-bitazza_gl,referee_kyc_platform(bitazza_gl),equals,,-,Added,friend-invited-kyced-bitazza_gl,referee_kyc_platform(bitazza_gl),,,,Added,Bitazza GL,,
102,Deposit Completed,deposit-completed,-,equals,,-,Added,deposit-completed,-,,,-,Added,Bitazza (GL & TH),,
103,Deposit Completed,deposit-completed-th-amount,"platform(th),
amount(amount)",equals,,amount,Added,deposit-completed-th-amount,"platform(th),
amount(amount)",,,amount,Added,Bitazza TH,,
104,Deposit Completed,deposit-completed-gl-amount,"platform(gl),
amount(amount)",equals,,amount,Added,deposit-completed-gl-amount,"platform(gl),
amount(amount)",,,amount,Added,Bitazza GL,,
105,Item Purchased,item-purchased,-,equals,,-,Added,item-purchased,-,,,,Added,All,,
106,Item Purchased,item-purchased-37-amount,"community_id(37),
quantity(amount)",equals,,quantity,Added,item-purchased-37-amount,"community_id(37),
quantity(amount)",,,quantity,Added,Freedom Cafe,,
107,Item Purchased,item-purchased-37-535-amount,"community_id(37),
quantity(amount), merchandise_id(535)",equals,,quantity,Added,,,,,quantity,Added,Freedom Cafe,,Best Blueberry Cheesecake
108,Item Purchased,item-purchased-37-533-amount,"community_id(37),
quantity(amount), merchandise_id(533)",equals,,quantity,Added,,,,,quantity,Added,Freedom Cafe,,Better Blueberry Cheesecake
109,Item Purchased,item-purchased-609-amount,"community_id(609),
quantity(amount)",equals,,quantity,Added,item-purchased-64-amount,"community_id(64),
quantity(amount)",,,quantity,Added,Bored Town,,
110,Item Purchased,item-purchased-671-amount,"community_id(671),
quantity(amount)",equals,,quantity,Added,item-purchased-335-amount,"community_id(335),
quantity(amount)",,,quantity,Added,Tom Yum Thai,,
111,Item Purchased,item-purchased-seenspace-539-amount,"community_id(668),
quantity(amount),
merchandise_id(539)",equals,,quantity,Added,item-purchased-79-amount-736 ,"community_id(79),
quantity(amount),
merchandise_id(736)",,,quantity,Added,Seen Space,,The Andean Alpaca
112,Item Purchased,item-purchased-seenspace-548-amount,"community_id(668),
quantity(amount),
merchandise_id(548)",equals,,quantity,Added,item-purchased-79-amount-737 ,"community_id(79),
quantity(amount),
merchandise_id(737)",,,quantity,Added,Seen Space,,Frontera Chardonnay
113,Item Purchased,item-purchased-seenspace-549-amount,"community_id(668),
quantity(amount),
merchandise_id(549)",equals,,quantity,Added,item-purchased-79-amount-734,"community_id(79),
quantity(amount),
merchandise_id(734)",,,quantity,Added,Seen Space,,Grand Cru Vineyards
114,Item Purchased,item-purchased-seenspace-543-amount,"community_id(668),
quantity(amount),
merchandise_id(543)",equals,,quantity,Added,item-purchased-79-amount-732 ,"community_id(79),
quantity(amount),
merchandise_id(732)",,,quantity,Added,Seen Space,,The Hungry Wasp
115,Item Purchased,item-purchased-seenspace-550-amount,"community_id(668),
quantity(amount),
merchandise_id(550)",equals,,quantity,Added,item-purchased-79-amount-735,"community_id(79),
quantity(amount),
merchandise_id(735)",,,quantity,Added,Seen Space,,Vasse Felix
116,Item Purchased,item-purchased-seenspace-540-amount,"community_id(668),
quantity(amount),
merchandise_id(540)",equals,,quantity,Added,item-purchased-79-amount-743,"community_id(79),
quantity(amount),
merchandise_id(743)",,,quantity,Added,Seen Space,,The Andean Alpaca Cabernet Sauvignon
117,Item Purchased,item-purchased-seenspace-546-amount,"community_id(668),
quantity(amount),
merchandise_id(546)",equals,,quantity,Added,item-purchased-79-amount-739 ,"community_id(79),
quantity(amount),
merchandise_id(739)",,,quantity,Added,Seen Space,,Wolf Blass Eaglehawk Cabernet Sauvignon
118,Item Purchased,item-purchased-seenspace-542-amount,"community_id(668),
quantity(amount),
merchandise_id(542)",equals,,quantity,Added,item-purchased-79-amount-742 ,"community_id(79),
quantity(amount),
merchandise_id(742)",,,quantity,Added,Seen Space,,Frontera Cabernet Sauvignon
119,Item Purchased,item-purchased-seenspace-547-amount,"community_id(668),
quantity(amount),
merchandise_id(547)",equals,,quantity,Added,item-purchased-79-amount-738,"community_id(79),
quantity(amount),
merchandise_id(738)",,,quantity,Added,Seen Space,,Trinity Reserve
120,Item Purchased,item-purchased-seenspace-544-amount,"community_id(668),
quantity(amount),
merchandise_id(544)",equals,,quantity,Added,item-purchased-79-amount-741,"community_id(79),
quantity(amount),
merchandise_id(741)",,,quantity,Added,Seen Space,,Maroues Casa Concha
121,Item Purchased,item-purchased-seenspace-541-amount,"community_id(668),
quantity(amount),
merchandise_id(541)",equals,,quantity,Added,item-purchased-79-amount-744,"community_id(79),
quantity(amount),
merchandise_id(744)",,,quantity,Added,Seen Space,,Cosentino Winery THE CAB
122,Item Purchased,item-purchase-seenspace-drinks,"community_id(668),
quantity(amount),
merchandise_id(539), 
merchandise_id(548),
merchandise_id(549), 
merchandise_id(543),
merchandise_id(550), 
merchandise_id(546),
merchandise_id(542), 
merchandise_id(547),
merchandise_id(544), 
merchandise_id(541)",equals,,quantity,Added,-,-,,,,,Seen Space,,Buy any seenspace drinks
123,Item Purchased,,,,,,Added,item-purchased-312-amount-886,"community_id(312),
quantity(amount),
merchandise_id(886)",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket-Aug
124,Item Purchased,,,,,,Added,item-purchased-312-amount-887,"community_id(312),
quantity(amount),
merchandise_id(887)",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket-July
125,Item Purchased,,,,,,Added,item-purchased-312-amount-888,"community_id(312),
quantity(amount),
merchandise_id(888)",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket-Oct
126,Item Purchased,,,,,,Added,item-purchased-312-amount-889,"community_id(312),
quantity(amount),
merchandise_id(889)",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket-Sep
127,Item Purchased,,,,,,Added,item-purchased-312-amount-890,"community_id(312),
quantity(amount),
merchandise_id(890)",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket-Nov
128,Item Purchased,item-purchased-boozia-tickets,"community_id(312),
quantity(amount),
merchandise_id(886)
merchandise_id(887),
merchandise_id(888),
merchandise_id(889),
merchandise_id(890),",equals,,quantity,Added,item-purchased-boozia-tickets,"community_id(312),
quantity(amount),
merchandise_id(886)
merchandise_id(887),
merchandise_id(888),
merchandise_id(889),
merchandise_id(890),",,,quantity,Added,Boozia,,Boozia Monthly Tasting Ticket (July - Nov)
129,Item Purchased,,,,,,Added,item-purchased-68-amount-795,"community_id(68),
quantity(amount),
merchandise_id(795)",,,quantity,Added,Rosie Master by Madam Marie,,REJURAN Once Face 2cc
130,Item Purchased,,,,,,Added,item-purchased-68-amount-794,"community_id(68),
quantity(amount),
merchandise_id(794)",,,quantity,Added,Rosie Master by Madam Marie,,IPL LASER PLUS Once
131,Item Purchased,,,,,,Added,item-purchased-68-amount-799,"community_id(68),
quantity(amount),
merchandise_id(799)",,,quantity,Added,Rosie Master by Madam Marie,,SCREW THREADS INFINITY 1 Stitch
132,Item Purchased,,,,,,Added,item-purchased-68-amount-805,"community_id(68),
quantity(amount),
merchandise_id(805)",,,quantity,Added,Rosie Master by Madam Marie,,SCREW THREADS INFINITY 10 Stitches
133,Item Purchased,,,,,,Added,item-purchased-68-amount-797,"community_id(68),
quantity(amount),
merchandise_id(797)",,,quantity,Added,Rosie Master by Madam Marie,,HIFU  1 time
134,Item Purchased,,,,,,Added,item-purchased-361-amount-903,"community_id(361),
quantity(amount),
merchandise_id(903)",,,quantity,Added,OktoberFest,,OktoberFest MainTicket
